,PR_type,info_cost,worker_id,assignment_id,pid
0,0,1.6,A12O9P1OTMJOPW,3W92K5RLWUHPIQGSB9CSB5O1OFUV5G,0
1,0,1.6,A1F7TXGSWETWX0,3GS6S824SQX6N4M35JDARO71M9WWNH,1
2,2,1.6,A1G94QON7A9K0N,3A0EX8ZRN8O8B0S6HUQPLQSNGSKYBV,2
3,0,1.6,A1GVMH6U54ZT8V,30OG32W0SUBC640CKJJ45I01F5RNES,3
4,0,1.6,A1MV2B8I02QVOE,3LPW2N6LKT2P5BRS6J2NFJMIA7KU5N,4
5,2,1.6,A1R3W25JDAUQ09,392CY0QWG1R201SSYXUZROSTGH34IN,5
6,2,1.6,A1RG8PCK9V4QP,3QAVNHZ3EM4JSRGFS113W76LPVUALJ,6
7,0,1.6,A1RPQXFV02P72A,3UXUOQ9OKEXKD6RDO70TD2OKUBPA7A,7
8,2,1.6,A1SL65Z68BK1UT,351SEKWQS0H1WG1CCNTKMLTGA3GMDY,8
9,2,1.6,A1TNOYRQG5VT7D,3O7L7BFSHEPKS3PLN36C0A4KT6YEI4,9
10,2,1.6,A23RGG9LXG380R,3R3YRB5GRF3MBH391FT4NU242MMUAW,10
11,1,1.6,A29ZV4XJB7R1O,3QL2OFSM96IX96GYOSD9FU0YUTFCNP,11
12,1,1.6,A2ARHK50FQ79YC,3300DTYQT2HX91D40BBL9CV6KGFEQ7,12
13,0,1.6,A2BPBFN87X32NO,3E4GGUZ1T8RJ3I3TUMWNBPA8O7X2K1,13
14,2,1.6,A2CQP9DZSDUC5V,3ZOTGHDK5IBVY856MT3M9O4L665OS9,14
15,0,1.6,A2HGSFG0CL508L,3HFNH7HEMHEVTF9V66199FGIXWTQGZ,15
16,0,1.6,A2HLBE6RNK7DGC,3ZDAD0O1T1DJ7HWDCKV826R0KTOTX8,16
17,2,1.6,A2JCK494NV7TFX,3EF8EXOTT1VH3DFFTXWX5R0QHCJ1JK,17
18,1,1.6,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
19,1,1.6,A2RFZPWXR7D4I5,3VP0C6EFSGW2B7MX20L6GFJOTHT6MQ,19
20,2,1.6,A2TOA704O1ML6A,3F0BG9B9MPNL9OPG4DE9GO6RX1QY74,20
21,0,1.6,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
22,0,1.6,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
23,0,1.6,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
24,2,1.6,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
25,1,1.6,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
26,0,1.6,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
27,1,1.6,A3862RIFFUV141,32Z9ZLUT1LK68ZRQBZRN5AXJXVOHOH,27
28,2,1.6,A3C9GGDXBZW62D,3NLZY2D53PPBF7NWHXYPM7LQTDFLQ0,28
29,0,1.6,A3EU2ZIKRJTLQD,39ASUFLU6X7HIYEGMP6D3KRZHI0XEJ,29
30,2,1.6,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
31,0,1.6,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
32,2,1.6,A3SSHRVWPASGML,3NVC2EB65QZ385OT21BJ37UBS05Y32,32
33,2,1.6,A9VLWY4KW6OCB,3UNH76FOCS54URW38JGYZ63HSRMYMI,33
34,2,1.6,AA68DKY05DOXC,3LOTDFNYA7ZUZC9M7VUXJJYSKIBWFB,34
35,2,1.6,AADDOP3FHMAV1,3TVSS0C0E104IHRN2FZM0NDTBRIWTI,35
36,0,1.6,AF1MN25P3XFLG,3EWIJTFFVO79L885JDH6U64O7CIE0A,36
37,1,1.6,AHPOUVK6YUTK1,3JJVG1YBEBXA9CIM6SLSATUULNEB5Q,37
38,1,1.6,AKZ8SFOAI4RZN,3S96KQ6I9M459BRWLKUW8ZO84BCDTQ,38
39,1,1.6,AMEX6UDG3WZWK,3ERET4BTVM9U32OSFVB2LCIMUD6K9A,39
40,1,1.6,AV8YCU0R4D94I,3LRLIPTPEQ988LYX71P2H7T60VPKAQ,40
41,0,1.6,AY8Q6SAWGFLGU,3YGXWBAF70HBNY6S6NYDGLUY3CJ4CL,41
42,0,1.6,AYIFHDQSXQJ6B,3LUY3GC63Z0R0AXFDQIQ3XDFTXOP74,42
43,0,1.6,AZGBKAM5JUV5A,34YB12FSQYO480B3EDUSS6WDNVWMG8,43
